Full_Name,Specialty,Add_Specialty,Full_Address,Practice,Address,City,State,Zip,Phone,URL
"Adegbenga A.. Adetola, MD",Nephrology,Internal Medicine,"3737 MLK, Jr. Blvd., Suite 400 Lynwood, CA 90262",,"3737 MLK, Jr. Blvd., Suite 400 Lynwood, CA 90262",Lynwood,CA,90262,310-631-2838,https://www.stfrancismedicalcenter.com/find-a-provider/adegbenga-a-adetola-md/
"Mehrdad M.. Aghai, MD",Ophthalmology,,"Century Eye Care Medical Center, Inc.1141 W. Redondo Beach Blvd., Suite 101 Gardena, CA 90247","Century Eye Care Medical Center, Inc.","1141 W. Redondo Beach Blvd., Suite 101 Gardena, CA 90247",Gardena,CA,90247,310-767-7814,https://www.stfrancismedicalcenter.com/find-a-provider/mehrdad-m-aghai-md/
"Rosa M.. Aguero, NP",Nurse Practitioner Psych/Mental Health,,"Alliance for Wellness / SoCal Mental Health14860 Roscoe Blvd, Suite 307 Panorama City, CA 91402",Alliance for Wellness / SoCal Mental Health,"14860 Roscoe Blvd, Suite 307 Panorama City, CA 91402",Panorama City,CA,91402,747-998-0387,https://www.stfrancismedicalcenter.com/find-a-provider/rosa-m-aguero-np/
"Artur Ambartsumyan, PA",Physician Assistant,,"501 E HARDY ST, SUITE 407 INGLEWOOD, CA ",,"501 E HARDY ST, SUITE 407 INGLEWOOD, CA ",INGLEWOOD,CA,,310-673-7724,https://www.stfrancismedicalcenter.com/find-a-provider/artur-ambartsumyan-pa/
"Joseph Ahdoot, MD",Pediatric Cardiology,Pediatrics,"Pacific Pediatric Cardiology Medical Grp50 W. Bellefontaine St., Suite 405 Pasadena, CA 91105",Pacific Pediatric Cardiology Medical Grp,"50 W. Bellefontaine St., Suite 405 Pasadena, CA 91105",Pasadena,CA,91105,626-796-9259,https://www.stfrancismedicalcenter.com/find-a-provider/joseph-ahdoot-md/
"Charles Ananian, DPM",Podiatrist,,"3616 E. First St.Los Angeles, CA 90063",,"3616 E. First St.Los Angeles, CA 90063",Los Angeles,CA,90063,323-264-6157,https://www.stfrancismedicalcenter.com/find-a-provider/charles-ananian-dpm/
"Afshin Ahoubim, MD",Critical Care Medicine,Nephrology,"555 East Hardy StreetInglewood, CA 90301",,"555 East Hardy StreetInglewood, CA 90301",Inglewood,CA,90301,917-909-9151,https://www.stfrancismedicalcenter.com/find-a-provider/afshin-ahoubim-md/
"Maxine M.. Anderson, MD",Surgical Critical Care,General Surgery,"3628 E. Imperial Hwy., Suite 204 Lynwood, CA 90262",,"3628 E. Imperial Hwy., Suite 204 Lynwood, CA 90262",Lynwood,CA,90262,424-213-4290,https://www.stfrancismedicalcenter.com/find-a-provider/maxine-m-anderson-md/
"Farzad Alemi, MD",General Surgical Oncology,General Surgery,"3628 E. Imperial Hwy., Suite 103 Lynwood, CA 90262",,"3628 E. Imperial Hwy., Suite 103 Lynwood, CA 90262",Lynwood,CA,90262,310-900-5010,https://www.stfrancismedicalcenter.com/find-a-provider/farzad-alemi-md/
"Muhammad F.. Anees, MD",Internal Medicine,,"Applecare Hospitalists Medical GroupP.O. Box 1088Artesia, CA 90702",Applecare Hospitalists Medical Group,"P.O. Box 1088Artesia, CA 90702",Artesia,CA,90702,562-869-1070,https://www.stfrancismedicalcenter.com/find-a-provider/muhammad-f-anees-md/
"Tricia M.. Aliazis, NP",Nurse Practitioner,,"3621 Martin Luther King Jr. Blvd., Ste. 6 Lynwood, CA 90262",,"3621 Martin Luther King Jr. Blvd., Ste. 6 Lynwood, CA 90262",Lynwood,CA,90262,310-638-9977,https://www.stfrancismedicalcenter.com/find-a-provider/tricia-m-aliazis-np/
"Elizabeth A.. Arena, MD",General Surgical Oncology,General Surgery,"Surgery Group of Los Angeles8635 W. 3rd St., Suite 880W Los Angeles, CA 90048",Surgery Group of Los Angeles,"8635 W. 3rd St., Suite 880W Los Angeles, CA 90048",Los Angeles,CA,90048,310-289-1518,https://www.stfrancismedicalcenter.com/find-a-provider/elizabeth-a-arena-md/
"Mohsen A.. Aljayeh, MD",Internal Medicine,,"8510 Balboa Blvd, 150 Northridge, CA 91325",,"8510 Balboa Blvd, 150 Northridge, CA 91325",Northridge,CA,91325,818-552-6230,https://www.stfrancismedicalcenter.com/find-a-provider/mohsen-a-aljayeh-md/
"Derek R.. Armfield, MD",Radiology - Telemedicine,,"Advanced Teleradiology6789 Quail Hill Parkway no 728Irvine, CA 92603",Advanced Teleradiology,"6789 Quail Hill Parkway no 728Irvine, CA 92603",Irvine,CA,92603,800-723-6186,https://www.stfrancismedicalcenter.com/find-a-provider/derek-r-armfield-md/
"Nidal Alkafarna, PA",Physician Assistant,,"22431 Antonio Pkwy, Suite B160-613Rancho Santa Margarita, CA 92888",,"22431 Antonio Pkwy, Suite B160-613Rancho Santa Margarita, CA 92888",Rancho Santa Margarita,CA,92888,855-727-2251,https://www.stfrancismedicalcenter.com/find-a-provider/nidal-alkafarna-pa/
"Joel A.. Aronowitz, MD",Plastic Surgery,,"8635 W. Third Street, Suite 1090W Los Angeles, CA 90048",,"8635 W. Third Street, Suite 1090W Los Angeles, CA 90048",Los Angeles,CA,90048,310-659-0705,https://www.stfrancismedicalcenter.com/find-a-provider/joel-a-aronowitz-md/
"Ayman Alladawi, MD",Obstetrics and Gynecology,,"8077 Florence Ave., Suite 112 Downey, CA 90240",,"8077 Florence Ave., Suite 112 Downey, CA 90240",Downey,CA,90240,562-904-6031,https://www.stfrancismedicalcenter.com/find-a-provider/ayman-alladawi-md/
"Avo Artinyan, MD",General Surgical Oncology,General Surgery,"1505 Wilson Terrace, Suite 150 Glendale, CA 91206",,"1505 Wilson Terrace, Suite 150 Glendale, CA 91206",Glendale,CA,91206,818-606-2200,https://www.stfrancismedicalcenter.com/find-a-provider/avo-artinyan-md/
"Gwen M.. Allen, MD",Obstetrics and Gynecology,,"Gardena Women's Center1141 W Redondo Beach Blvd, Suite 402 Gardena, CA 90247",Gardena Women's Center,"1141 W Redondo Beach Blvd, Suite 402 Gardena, CA 90247",Gardena,CA,90247,310-329-9492,https://www.stfrancismedicalcenter.com/find-a-provider/gwen-m-allen-md/
"Raj Balasundaram, MD",Internal Medicine,,"Applecare11525 Brookshire Ave, Ste 300 Downey, CA 90241",Applecare,"11525 Brookshire Ave, Ste 300 Downey, CA 90241",Downey,CA,90241,562-869-1070,https://www.stfrancismedicalcenter.com/find-a-provider/raj-balasundaram-md/
"David Aufrichtig, MD",Radiology - Telemedicine,,"Advanced Teleradiology6789 Quail Hill Parkway no 728Irvine, CA 92603",Advanced Teleradiology,"6789 Quail Hill Parkway no 728Irvine, CA 92603",Irvine,CA,92603,800-723-6186,https://www.stfrancismedicalcenter.com/find-a-provider/david-aufrichtig-md/
"Melanie C.. Altamirano, NP",Neurology,,,,,,,,818-906-4944,https://www.stfrancismedicalcenter.com/find-a-provider/?fbclid=IwAR0Gwi2H4D1uqJTOQnCsPcbGhf8EH8_B7z-ZdbsPr8xsMN-9TbY4E-EoPc4
